stored_name	slug	kind	website	name	description_de	description_en	events	note
TOP90s Berlin	top90s-berlin	party		TOP90s Berlin			1	
Topline Berlin	topline-berlin	unverified		Topline Berlin			1	
Total Black	total-black	unverified		Total Black			1	
TouringTunes Sp. z o. o.	touringtunes	promoter		TouringTunes			1	Polish agency
Trinity Music	trinity-music	promoter	https://trinitymusic.de/	Trinity Music	Trinity Music veranstaltet seit 1998 Konzerte in Berlin, rund 1.000 im Jahr, vor allem Rock und Pop – vom Club bis zu den großen Hallen der Stadt. Seit 2005 bespielt die Agentur auch die Zitadelle Spandau als Open-Air-Bühne.	Trinity Music has promoted concerts in Berlin since 1998, around 1,000 a year, mostly rock and pop, from club shows to the city's largest halls. Since 2005 it has also run the Zitadelle Spandau as an open-air stage.	340	
Trippleslashdot	trippleslashdot	unverified		Trippleslashdot			1	
TV Noir	tv-noir	promoter	https://tvnoir.de/	TV Noir			1	
Twisted Talent	twisted-talent	promoter		Twisted Talent			1	
Undercover	undercover	promoter	https://undercover.de/	Undercover	Undercover ist ein Tourneeveranstalter aus Braunschweig, der Künstler:innen in Deutschland, Österreich und der Schweiz auf Tour bringt und rund 200 örtliche Shows im Jahr veranstaltet. In Berlin laufen die Konzerte unter anderem im Badehaus, Frannz Club und in der Columbiahalle.	Undercover is a touring promoter from Braunschweig that takes acts on tour across Germany, Austria and Switzerland and stages around 200 local shows a year. In Berlin its concerts run at Badehaus, Frannz Club and the Columbiahalle, among others.	8	
Unreleased	unreleased-berlin	party	https://unreleased.berlin/	Unreleased Berlin			2	
untoldency	untoldency	unverified		untoldency			1	
Urban Spree	urban-spree	venue	https://www.urbanspree.com/	Urban Spree			2	
Verlag Klaus Wagenbach	verlag-klaus-wagenbach	sponsor	https://www.wagenbach.de/	Verlag Klaus Wagenbach			1	
Vertikal	vertikal	unverified		Vertikal			1	
Vk Beats_	vk-beats_	unverified		Vk Beats_			1	trailing underscore
Volkssolidarität Berlin	volkssolidaritat-berlin	sponsor	https://www.volkssolidaritaet.de/	Volkssolidarität Berlin			1	
WallCityMusic	wallcitymusic	promoter		WallCityMusic			1	
We Artists	we-artists	unverified		We Artists			1	Huxleys slug-minted, casing defect: #307
Welterforscher Film und so weiter	welterforscher-film-und-so-weiter	promoter		Welterforscher Film und so weiter			1	
Whiskeyrap	whiskeyrap	party	https://www.whiskeyrap.de/	Whiskeyrap			1	
Wisborg	wisborg	artist		Wisborg			1	band
You've Got The Love	you-ve-got-the-love	party		You've Got The Love			1	
Zart	z-art-agency	promoter	https://zart-agency.com/	Z|ART Agency			2	
